,School,Year,Seed,Exit Round,Bid Type,Region
1984,UNC Greensboro,2018,13,First Round,Automatic Qualifier,West
1985,UNC Greensboro,2001,16,First Round,Automatic Qualifier,West
1986,UNC Greensboro,1996,15,First Round,Automatic Qualifier,Southeast
1987,UNC Wilmington,2017,12,First Round,Automatic Qualifier,East
1988,UNC Wilmington,2016,13,First Round,Automatic Qualifier,West
1989,UNC Wilmington,2006,9,First Round,Automatic Qualifier,South
1990,UNC Wilmington,2003,11,First Round,Automatic Qualifier,South
1991,UNC Wilmington,2002,13,Second Round,Automatic Qualifier,South
1992,UNC Wilmington,2000,15,First Round,Automatic Qualifier,South
1993,UNLV,2013,5,First Round,At Large,East
1994,UNLV,2012,6,First Round,At Large,South
1995,UNLV,2011,8,First Round,At Large,Southwest
1996,UNLV,2010,8,First Round,At Large,Midwest
1997,UNLV,2008,8,Second Round,Automatic Qualifier,Midwest
1998,UNLV,2007,7,Sweet 16,Automatic Qualifier,Midwest
1999,UNLV,2000,10,First Round,At Large,South
2000,UNLV,1998,12,First Round,Automatic Qualifier,East
2001,UNLV,1991,1,Final Four,Automatic Qualifier,West
2002,UNLV,1990,1,National Championship,Automatic Qualifier,West
2003,UNLV,1989,4,Elite Eight,Automatic Qualifier,West
2004,UNLV,1988,4,Second Round,At Large,West
2005,UNLV,1987,1,Final Four,Automatic Qualifier,West
2006,UNLV,1986,4,Sweet 16,Automatic Qualifier,West
2007,UNLV,1985,4,Second Round,Automatic Qualifier,West
2008,Utah,2016,3,Second Round,At Large,Midwest
2009,Utah,2015,5,Sweet 16,At Large,South
2010,Utah,2009,5,First Round,Automatic Qualifier,Midwest
2011,Utah,2005,6,Sweet 16,At Large,South
2012,Utah,2004,11,First Round,Automatic Qualifier,Midwest
2013,Utah,2003,9,Second Round,At Large,Midwest
2014,Utah,2002,12,First Round,At Large,South
2015,Utah,2000,8,Second Round,At Large,Midwest
2016,Utah,1999,2,Second Round,Automatic Qualifier,Midwest
2017,Utah,1998,3,National Championship,At Large,West
2018,Utah,1997,2,Elite Eight,Automatic Qualifier,West
2019,Utah,1996,4,Sweet 16,At Large,Midwest
2020,Utah,1995,4,Second Round,Automatic Qualifier,West
2021,Utah,1993,8,Second Round,At Large,Southeast
2022,Utah,1991,4,Sweet 16,At Large,West
2023,Utah,1986,14,First Round,At Large,West
2024,Utah State,2019,8,First Round,Automatic Qualifier,Midwest
2025,Utah State,2011,12,First Round,Automatic Qualifier,Southeast
2026,Utah State,2010,12,First Round,At Large,South
2027,Utah State,2009,11,First Round,Automatic Qualifier,West
2028,Utah State,2006,12,First Round,At Large,East
2029,Utah State,2005,14,First Round,Automatic Qualifier,Midwest
2030,Utah State,2003,15,First Round,Automatic Qualifier,West
2031,Utah State,2001,12,Second Round,Automatic Qualifier,East
2032,Utah State,2000,12,First Round,Automatic Qualifier,South
2033,Utah State,1998,13,First Round,Automatic Qualifier,West
2034,Utah State,1988,10,First Round,Automatic Qualifier,Midwest
2035,UTEP,2010,12,First Round,At Large,West
2036,UTEP,2005,11,First Round,Automatic Qualifier,South
2037,UTEP,2004,13,First Round,At Large,West
2038,UTEP,1992,9,Sweet 16,At Large,Midwest
2039,UTEP,1990,11,First Round,Automatic Qualifier,Southeast
2040,UTEP,1989,7,Second Round,Automatic Qualifier,West
2041,UTEP,1988,9,First Round,At Large,West
2042,UTEP,1987,7,Second Round,At Large,West
2043,UTEP,1986,10,First Round,Automatic Qualifier,West
2044,UTEP,1985,11,Second Round,At Large,West
2045,Valparaiso,2015,13,First Round,Automatic Qualifier,Midwest
2046,Valparaiso,2013,14,First Round,Automatic Qualifier,Midwest
2047,Valparaiso,2004,15,First Round,Automatic Qualifier,Midwest
2048,Valparaiso,2002,13,First Round,Automatic Qualifier,East
2049,Valparaiso,2000,16,First Round,Automatic Qualifier,Midwest
2050,Valparaiso,1999,15,First Round,Automatic Qualifier,South
2051,Valparaiso,1998,13,Sweet 16,Automatic Qualifier,Midwest
2052,Valparaiso,1997,12,First Round,Automatic Qualifier,West
2053,Valparaiso,1996,14,First Round,Automatic Qualifier,West
2054,Vanderbilt,2017,9,First Round,At Large,West
2055,Vanderbilt,2016,11,Play-In,At Large,South
2056,Vanderbilt,2012,5,Second Round,Automatic Qualifier,East
2057,Vanderbilt,2011,5,First Round,At Large,Southwest
2058,Vanderbilt,2010,4,First Round,At Large,West
2059,Vanderbilt,2008,4,First Round,At Large,Midwest
2060,Vanderbilt,2007,6,Sweet 16,At Large,East
2061,Vanderbilt,2004,6,Sweet 16,At Large,West
2062,Vanderbilt,1997,10,First Round,At Large,Midwest
2063,Vanderbilt,1993,3,Sweet 16,At Large,West
2064,Vanderbilt,1991,9,First Round,At Large,West
2065,Vanderbilt,1989,8,First Round,At Large,East
2066,Vanderbilt,1988,7,Sweet 16,At Large,Midwest
2067,Vermont,2019,13,First Round,Automatic Qualifier,West
2068,Vermont,2017,13,First Round,Automatic Qualifier,Midwest
2069,Vermont,2012,16,First Round,Automatic Qualifier,Midwest
2070,Vermont,2010,16,First Round,Automatic Qualifier,West
2071,Vermont,2005,13,Second Round,Automatic Qualifier,South
2072,Vermont,2004,15,First Round,Automatic Qualifier,West
2073,Vermont,2003,16,First Round,Automatic Qualifier,West
2074,Villanova,2019,6,Second Round,Automatic Qualifier,South
2075,Villanova,2018,1,National Championship,Automatic Qualifier,East
2076,Villanova,2017,1,Second Round,Automatic Qualifier,East
2077,Villanova,2016,2,National Championship,At Large,South
2078,Villanova,2015,1,Second Round,Automatic Qualifier,East
2079,Villanova,2014,2,Second Round,At Large,East
2080,Villanova,2013,9,First Round,At Large,South
2081,Villanova,2011,9,First Round,At Large,East
2082,Villanova,2010,2,Second Round,At Large,South
2083,Villanova,2009,3,Final Four,At Large,East
2084,Villanova,2008,12,Sweet 16,At Large,Midwest
2085,Villanova,2007,9,First Round,At Large,West
2086,Villanova,2006,1,Elite Eight,At Large,Midwest
2087,Villanova,2005,5,Sweet 16,At Large,East
2088,Villanova,1999,8,First Round,At Large,Midwest
2089,Villanova,1997,4,Second Round,At Large,East
2090,Villanova,1996,3,Second Round,At Large,Midwest
2091,Villanova,1995,3,First Round,Automatic Qualifier,East
2092,Villanova,1991,9,Second Round,At Large,East
2093,Villanova,1990,12,First Round,At Large,Southeast
2094,Villanova,1988,6,Elite Eight,At Large,Southeast
2095,Villanova,1986,10,Second Round,At Large,Southeast
2096,Villanova,1985,8,National Championship,At Large,Southeast
2097,Virginia,2020,6,Play-In,At Large,2019
2098,Virginia,1,National Championship,At Large,South,2018
2099,Virginia,1,First Round,Automatic Qualifier,South,2017
2100,Virginia,5,Second Round,At Large,East,2016
2101,Virginia,1,Elite Eight,At Large,Midwest,2015
2102,Virginia,2,Second Round,At Large,East,2014
2103,Virginia,1,Sweet 16,Automatic Qualifier,East,2012
2104,Virginia,10,First Round,At Large,West,2007
2105,Virginia,4,Second Round,At Large,South,2001
2106,Virginia,5,First Round,At Large,South,1997
2107,Virginia,9,First Round,At Large,West,1995
2108,Virginia,4,Elite Eight,At Large,Midwest,1994
2109,Virginia,7,Second Round,At Large,West,1993
2110,Virginia,6,Sweet 16,At Large,East,1991
2111,Virginia,7,First Round,At Large,West,1990
2112,Virginia,7,Second Round,At Large,Southeast,1989
2113,Virginia,5,Elite Eight,At Large,Southeast,1987
2114,Virginia,5,First Round,At Large,West,1986
2115,Virginia Commonwealth,2019,8,First Round,At Large,East
2116,Virginia Commonwealth,2017,10,First Round,At Large,West
2117,Virginia Commonwealth,2016,10,Second Round,At Large,West
2118,Virginia Commonwealth,2015,7,First Round,Automatic Qualifier,West
2119,Virginia Commonwealth,2014,5,First Round,At Large,South
2120,Virginia Commonwealth,2013,5,Second Round,At Large,South
2121,Virginia Commonwealth,2012,12,Second Round,Automatic Qualifier,South
2122,Virginia Commonwealth,2011,11,Final Four,At Large,Southwest
2123,Virginia Commonwealth,2009,11,First Round,Automatic Qualifier,East
2124,Virginia Commonwealth,2007,11,Second Round,Automatic Qualifier,West
2125,Virginia Commonwealth,2004,13,First Round,Automatic Qualifier,East
2126,Virginia Commonwealth,1996,12,First Round,Automatic Qualifier,Southeast
2127,Virginia Commonwealth,1985,2,Second Round,Automatic Qualifier,West
2128,Virginia Tech,2019,4,Sweet 16,At Large,East
2129,Virginia Tech,2018,8,First Round,At Large,East
2130,Virginia Tech,2017,9,First Round,At Large,East
2131,Virginia Tech,2007,5,Second Round,At Large,West
2132,Virginia Tech,1996,9,Second Round,At Large,Midwest
2133,Virginia Tech,1986,7,First Round,At Large,Southeast
2134,Virginia Tech,1985,9,First Round,At Large,East
2135,Wagner,2003,15,First Round,Automatic Qualifier,Midwest
2136,Wake Forest,2017,11,Play-In,At Large,South
2137,Wake Forest,2010,9,Second Round,At Large,East
2138,Wake Forest,2009,4,First Round,At Large,Midwest
2139,Wake Forest,2005,2,Second Round,At Large,West
2140,Wake Forest,2004,4,Sweet 16,At Large,East
2141,Wake Forest,2003,2,Second Round,At Large,East
2142,Wake Forest,2002,7,Second Round,At Large,Midwest
2143,Wake Forest,2001,7,First Round,At Large,Midwest
2144,Wake Forest,1997,3,Second Round,At Large,West
2145,Wake Forest,1996,2,Elite Eight,Automatic Qualifier,Midwest
2146,Wake Forest,1995,1,Sweet 16,Automatic Qualifier,East
2147,Wake Forest,1994,5,Second Round,At Large,Southeast
2148,Wake Forest,1993,5,Sweet 16,At Large,Southeast
2149,Wake Forest,1992,9,First Round,At Large,West
2150,Wake Forest,1991,5,Second Round,At Large,Southeast
2151,Washington,2019,9,Second Round,At Large,Midwest
2152,Washington,2011,7,Second Round,Automatic Qualifier,East
2153,Washington,2010,11,Sweet 16,Automatic Qualifier,East
2154,Washington,2009,4,Second Round,At Large,West
2155,Washington,2006,5,Sweet 16,At Large,East
2156,Washington,2005,1,Sweet 16,Automatic Qualifier,West
2157,Washington,2004,8,First Round,At Large,Midwest
2158,Washington,1999,7,First Round,At Large,Midwest
2159,Washington,1998,11,Sweet 16,At Large,East
2160,Washington,1986,12,First Round,At Large,Midwest
2161,Washington,1985,5,First Round,Automatic Qualifier,West
2162,Washington State,2008,4,Sweet 16,At Large,East
2163,Washington State,2007,3,Second Round,At Large,East
2164,Washington State,1994,8,First Round,At Large,East
2165,Weber State,2016,15,First Round,Automatic Qualifier,East
2166,Weber State,2014,16,First Round,Automatic Qualifier,West
2167,Weber State,2007,15,First Round,Automatic Qualifier,West
2168,Weber State,2003,12,First Round,Automatic Qualifier,Midwest
2169,Weber State,1999,14,Second Round,Automatic Qualifier,West
2170,Weber State,1995,14,Second Round,Automatic Qualifier,Southeast
2171,West Virginia,2018,5,Sweet 16,At Large,East
2172,West Virginia,2017,4,Sweet 16,At Large,West
2173,West Virginia,2016,3,First Round,At Large,East
2174,West Virginia,2015,5,Sweet 16,At Large,Midwest
2175,West Virginia,2012,10,First Round,At Large,East
2176,West Virginia,2011,5,Second Round,Automatic Qualifier,East
2177,West Virginia,2010,2,Final Four,Automatic Qualifier,East
2178,West Virginia,2009,6,First Round,At Large,Midwest
2179,West Virginia,2008,7,Sweet 16,At Large,West
2180,West Virginia,2006,6,Sweet 16,At Large,South
2181,West Virginia,2005,7,Elite Eight,At Large,West
2182,West Virginia,1998,10,Sweet 16,At Large,West
2183,West Virginia,1992,12,First Round,At Large,East
2184,West Virginia,1989,7,Second Round,At Large,East
2185,West Virginia,1987,7,First Round,At Large,East
2186,West Virginia,1986,9,First Round,At Large,East
2187,Western Carolina,1996,16,First Round,Automatic Qualifier,West
2188,Western Kentucky,2013,16,First Round,Automatic Qualifier,South
2189,Western Kentucky,2012,16,First Round,Automatic Qualifier,South
2190,Western Kentucky,2009,12,Second Round,Automatic Qualifier,South
2191,Western Kentucky,2008,12,Sweet 16,Automatic Qualifier,West
2192,Western Kentucky,2003,13,First Round,Automatic Qualifier,West
2193,Western Kentucky,2002,9,First Round,Automatic Qualifier,Midwest
2194,Western Kentucky,2001,14,First Round,Automatic Qualifier,South
2195,Western Kentucky,1995,8,Second Round,Automatic Qualifier,Midwest
2196,Western Kentucky,1994,11,First Round,At Large,Midwest
2197,Western Kentucky,1993,7,Sweet 16,Automatic Qualifier,Southeast
2198,Western Kentucky,1987,10,Second Round,At Large,East
2199,Western Kentucky,1986,8,Second Round,At Large,Southeast
2200,Western Michigan,2014,14,First Round,Automatic Qualifier,South
2201,Western Michigan,2004,11,First Round,Automatic Qualifier,West
2202,Western Michigan,1998,11,Second Round,At Large,Midwest
2203,Wichita State,2018,4,First Round,At Large,East
2204,Wichita State,2017,10,Second Round,Automatic Qualifier,South
2205,Wichita State,2016,11,Second Round,At Large,South
2206,Wichita State,2015,7,Sweet 16,At Large,Midwest
2207,Wichita State,2014,1,Second Round,Automatic Qualifier,Midwest
2208,Wichita State,2013,9,Final Four,At Large,West
2209,Wichita State,2012,5,First Round,At Large,South
2210,Wichita State,2006,7,Sweet 16,At Large,East
2211,Wichita State,1988,12,First Round,At Large,Midwest
2212,Wichita State,1987,11,First Round,Automatic Qualifier,Midwest
2213,Wichita State,1985,11,First Round,Automatic Qualifier,East
2214,Winthrop,2017,13,First Round,Automatic Qualifier,South
2215,Winthrop,2010,16,Play-In,Automatic Qualifier,South
2216,Winthrop,2008,13,First Round,Automatic Qualifier,East
2217,Winthrop,2007,11,Second Round,Automatic Qualifier,Midwest
2218,Winthrop,2006,15,First Round,Automatic Qualifier,East
2219,Winthrop,2005,14,First Round,Automatic Qualifier,West
2220,Winthrop,2002,16,First Round,Automatic Qualifier,South
2221,Winthrop,2001,16,Play-In,Automatic Qualifier,Midwest
2222,Winthrop,2000,14,First Round,Automatic Qualifier,West
2223,Winthrop,1999,16,First Round,Automatic Qualifier,South
2224,Wisconsin,2019,5,First Round,At Large,South
2225,Wisconsin,2017,8,Sweet 16,At Large,East
2226,Wisconsin,2016,7,Sweet 16,At Large,East
2227,Wisconsin,2015,1,National Championship,Automatic Qualifier,West
2228,Wisconsin,2014,2,Final Four,At Large,West
2229,Wisconsin,2013,5,First Round,At Large,West
2230,Wisconsin,2012,4,Sweet 16,At Large,East
2231,Wisconsin,2011,4,Sweet 16,At Large,Southeast
2232,Wisconsin,2010,4,Second Round,At Large,East
2233,Wisconsin,2009,12,Second Round,At Large,East
2234,Wisconsin,2008,3,Sweet 16,Automatic Qualifier,Midwest
2235,Wisconsin,2007,2,Second Round,At Large,Midwest
2236,Wisconsin,2006,9,First Round,At Large,Midwest
2237,Wisconsin,2005,6,Elite Eight,At Large,East
2238,Wisconsin,2004,6,Second Round,Automatic Qualifier,East
2239,Wisconsin,2003,5,Sweet 16,At Large,Midwest
2240,Wisconsin,2002,8,Second Round,At Large,East
2241,Wisconsin,2001,6,First Round,At Large,West
2242,Wisconsin,2000,8,Final Four,At Large,West
2243,Wisconsin,1999,5,First Round,At Large,East
2244,Wisconsin,1997,7,First Round,At Large,East
2245,Wisconsin,1994,9,Second Round,At Large,West
2246,Wofford,2019,7,Second Round,Automatic Qualifier,Midwest
2247,Wofford,2015,12,First Round,Automatic Qualifier,West
2248,Wofford,2014,15,First Round,Automatic Qualifier,Midwest
2249,Wofford,2011,14,First Round,Automatic Qualifier,Southeast
2250,Wofford,2010,13,First Round,Automatic Qualifier,East
2251,Wright State,2018,14,First Round,Automatic Qualifier,South
2252,Wright State,2007,14,First Round,Automatic Qualifier,West
2253,Wright State,1993,16,First Round,Automatic Qualifier,Midwest
2254,Wyoming,2015,12,First Round,Automatic Qualifier,East
2255,Wyoming,2002,11,Second Round,At Large,West
2256,Wyoming,1988,7,First Round,Automatic Qualifier,West
2257,Wyoming,1987,12,Sweet 16,Automatic Qualifier,West
2258,Xavier,2018,1,Second Round,At Large,West
2259,Xavier,2017,11,Elite Eight,At Large,West
2260,Xavier,2016,2,Second Round,At Large,East
2261,Xavier,2015,6,Sweet 16,At Large,West
2262,Xavier,2014,12,Play-In,At Large,Midwest
2263,Xavier,2012,10,Sweet 16,At Large,South
2264,Xavier,2011,6,First Round,At Large,East
2265,Xavier,2010,6,Sweet 16,At Large,West
2266,Xavier,2009,4,Sweet 16,At Large,East
2267,Xavier,2008,3,Elite Eight,At Large,West
2268,Xavier,2007,9,Second Round,At Large,South
2269,Xavier,2006,14,First Round,Automatic Qualifier,West
2270,Xavier,2004,7,Elite Eight,Automatic Qualifier,South
2271,Xavier,2003,3,Second Round,At Large,South
2272,Xavier,2002,7,Second Round,Automatic Qualifier,West
2273,Xavier,2001,11,First Round,At Large,Midwest
2274,Xavier,1998,6,First Round,Automatic Qualifier,East
2275,Xavier,1997,7,Second Round,At Large,Midwest
2276,Xavier,1995,11,First Round,At Large,Southeast
2277,Xavier,1993,9,Second Round,At Large,Midwest
2278,Xavier,1991,14,Second Round,Automatic Qualifier,Midwest
2279,Xavier,1990,6,Sweet 16,At Large,Midwest
2280,Xavier,1989,14,First Round,Automatic Qualifier,Southeast
2281,Xavier,1988,11,First Round,Automatic Qualifier,Midwest
2282,Xavier,1987,13,Second Round,Automatic Qualifier,Midwest
2283,Xavier,1986,12,First Round,Automatic Qualifier,Southeast
2284,Yale,2019,14,First Round,Automatic Qualifier,East
2285,Yale,2016,12,Second Round,Automatic Qualifier,West
